State Code,District Code,Sub-Distt,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,No of Households,Total Population - Persons,Total Population - Males,Total Population - Females,Population in the Age Group 0-6 - Persons,Population in the Age Group 0-6 - Males,Population in the Age Group 0-6 Females,Scheduled Castes Population - Persons,Scheduled Castes Population - Males,Scheduled Castes Population - Females,Scheduled Tribes Population - Persons,Scheduled Tribes Population - Males,Scheduled Tribes Population - Females,Literates Population - Persons,Literates Population - Males,Literates Population - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Total Worker Population - Persons,Total Worker Population - Males,Total Worker Population - Females,Main Worker Population - Persons,Main Worker Population - Males,Main Worker Population - Females,Main Cultivator Population - Persons,Main Cultivator Population - Males,Main Cultivator Population - Females,Main Agricultural Labourers Population - Persons,Main Agricultural Labourers Population - Males,Main Agricultural Labourers Population - Females,Main Household Industries Population - Persons,Main Household Industries Population - Males,Main Household Industries Population - Females,Main Other Workers Population - Persons,Main Other Workers Population - Males,Main Other Workers Population - Females,Marginal Worker Population - Persons,Marginal Worker Population - Males,Marginal Worker Population - Females,Marginal Cultivator Population - Persons,Marginal Cultivator Population - Males,Marginal Cultivator Population - Females,Marginal Agriculture Labourers Population - Persons,Marginal Agriculture Labourers Population - Males,Marginal Agriculture Labourers Population - Females,Marginal Household Industries Population - Persons,Marginal Household Industries Population - Males,Marginal Household Industries Population - Females,Marginal Other Workers Population - Persons,Marginal Other Workers Population - Males,Marginal Other Workers Population - Females,Non Worker Population - Persons,Non Worker Population - Males,Non Worker Population - Females
27,23,0000,42301000,209,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.209,Urban,6857,33927,18827,15100,3765,1939,1826,3494,1648,1846,466,233,233,23813,13867,9946,10114,4960,5154,13325,10882,2443,12903,10585,2318,13,5,8,4,2,2,165,101,64,12721,10477,2244,422,297,125,2,1,1,10,8,2,14,3,11,396,285,111,20602,7945,12657
27,23,0000,42301000,310,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.310,Urban,4713,25140,14493,10647,2197,1159,1038,105,56,49,5,3,2,19462,10990,8472,5678,3503,2175,10665,9786,879,10457,9663,794,9,6,3,3,0,3,195,73,122,10250,9584,666,208,123,85,0,0,0,2,2,0,34,2,32,172,119,53,14475,4707,9768
27,23,0000,42301000,311,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.311,Urban,5765,31882,19630,12252,2774,1429,1345,697,378,319,14,9,5,26182,16863,9319,5700,2767,2933,15019,13762,1257,14568,13476,1092,12,10,2,7,3,4,427,308,119,14122,13155,967,451,286,165,0,0,0,0,0,0,31,4,27,420,282,138,16863,5868,10995
27,23,0000,42301000,312,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.312,Urban,8225,46413,30005,16408,3784,1948,1836,24,15,9,82,66,16,37760,25079,12681,8653,4926,3727,23491,22439,1052,22909,22012,897,10,9,1,11,10,1,229,146,83,22659,21847,812,582,427,155,0,0,0,0,0,0,67,6,61,515,421,94,22922,7566,15356
27,23,0000,42301000,313,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.313,Urban,5226,26080,20600,5480,905,447,458,110,70,40,66,59,7,22482,18030,4452,3598,2570,1028,18905,18168,737,18378,17695,683,11,9,2,6,6,0,305,237,68,18056,17443,613,527,473,54,0,0,0,0,0,0,25,11,14,502,462,40,7175,2432,4743
27,23,0000,42301000,314,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.314,Urban,7949,38253,23272,14981,2291,1204,1087,460,238,222,29,21,8,32592,20400,12192,5661,2872,2789,19041,16450,2591,18515,16095,2420,6,6,0,11,8,3,488,321,167,18010,15760,2250,526,355,171,0,0,0,1,0,1,64,10,54,461,345,116,19212,6822,12390
27,23,0000,42301000,315,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.315,Urban,7779,35154,19901,15253,2438,1302,1136,237,125,112,89,44,45,30519,17532,12987,4635,2369,2266,15131,12900,2231,14463,12388,2075,23,15,8,12,10,2,495,349,146,13933,12014,1919,668,512,156,3,2,1,0,0,0,61,7,54,604,503,101,20023,7001,13022
27,23,0000,42301000,416,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.416,Urban,10798,53315,28779,24536,4223,2212,2011,886,449,437,74,36,38,42988,24490,18498,10327,4289,6038,20826,17975,2851,20402,17763,2639,12,10,2,10,4,6,527,343,184,19853,17406,2447,424,212,212,1,1,0,4,2,2,122,36,86,297,173,124,32489,10804,21685
27,23,0000,42301000,417,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.417,Urban,10917,56134,30486,25648,5190,2720,2470,3780,1885,1895,46,28,18,43960,25064,18896,12174,5422,6752,21366,17966,3400,20480,17355,3125,24,14,10,7,5,2,660,505,155,19789,16831,2958,886,611,275,1,0,1,1,1,0,182,70,112,702,540,162,34768,12520,22248
27,23,0000,42301000,418,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.418,Urban,9608,42240,22520,19720,2897,1528,1369,164,78,86,37,16,21,37406,20297,17109,4834,2223,2611,16441,13322,3119,15795,12897,2898,38,25,13,7,7,0,484,314,170,15266,12551,2715,646,425,221,3,1,2,0,0,0,66,16,50,577,408,169,25799,9198,16601
