POP
3089000
3254000
3366000
3482000
3602000
3726000
3855000
3988000
4125000
4268000
4415000
4573000
4748000
4930000
5119000
5314000
5518000
5729000
5949000
6176000
6413000
6656000
6900000
7152000
7414000
7685000
7967000
8258000
8561000
8874000
9200000
9514000
9794000
10083000
10380000
10686000
11000000
11324000
11659000
12002000
12355000
12709000
13052000
13403000
13764000
14135000
14517000
14908000
15309000
15722000
16147000
16496000
16683000
16872000
17064000
17257000
17453000
17650000
17851000
18053000
18257000
18464000
18674000
18885000
19099000
19316000
19535000
19756000
19980000
